date,source,source_file,cycle_idx,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,157,70.5400,62.3485,23.7236,62.3485,2.3320,1,71.148,134.605
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,158,42.9541,47.2894,34.0314,47.2894,0.9570,1,123.873,148.619
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,159,34.0314,66.4089,25.5672,66.4089,4.0040,1,50.613,59.520
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,160,25.5672,41.0641,19.5935,41.0641,2.8160,1,43.589,80.116
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,161,19.5935,35.6660,23.5683,35.6660,2.4750,1,43.725,43.924
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,162,10.3065,77.4489,5.6804,77.4489,2.5960,1,53.755,91.086
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,163,5.6804,23.8272,5.0039,23.8272,2.2550,1,36.909,37.412
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,164,5.0039,37.2030,11.9798,37.2030,4.4110,1,23.231,25.024
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,165,11.9798,8.8171,9.5314,9.5314,2.0570,1,24.369,37.643
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,166,18.2776,64.8916,11.1103,64.8916,2.5410,1,22.795,33.078
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,167,11.1103,31.2305,12.4106,31.2305,1.4740,1,18.360,23.577
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,168,12.4106,57.0063,6.9478,57.0063,1.0010,1,99.336,103.003
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,169,6.9478,41.5051,20.0456,41.5051,0.9790,1,25.257,25.688
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,170,6.2165,29.1776,0.9791,29.1776,2.3760,1,7.166,17.020
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,171,0.9791,19.3478,5.8826,19.3478,1.9140,1,18.474,26.399
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,172,5.8826,32.0670,18.4368,32.0670,2.0680,1,26.240,32.521
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,173,18.4368,30.8494,33.8583,33.8583,1.2760,1,58.599,59.355
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,174,47.6063,68.1886,20.0451,68.1886,2.5300,1,52.685,64.648
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,175,20.0451,59.7295,38.2259,59.7295,2.2110,1,60.676,63.289
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,176,38.2259,73.8999,14.6389,73.8999,2.3430,1,41.473,93.971
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,177,20.4494,56.0319,31.1606,56.0319,2.3870,1,23.541,25.317
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,178,19.4343,76.3144,37.9614,76.3144,2.9260,1,20.181,23.184
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,179,37.9614,71.1537,38.9880,71.1537,1.4190,1,35.043,103.557
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,180,38.9880,76.6084,20.1563,76.6084,3.8830,1,51.771,63.980
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,181,20.1563,26.0387,17.6743,26.0387,1.9580,1,31.293,33.650
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,182,17.6743,42.0861,3.7468,42.0861,2.0350,1,47.178,51.023
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,183,3.7468,62.1732,15.0779,62.1732,1.7050,1,36.301,40.093
